Item_ID,Item_Category,Item_MRP,Item_Visibility,Item_Fat_Content,Outlet_ID,Outlet_Type,Outlet_Size,Outlet_Location_Type,Outlet_Establishment_Year,Festival_Flag,Discount_Percentage,Units_Sold
ITM_00001,Personal Care,216.2,0.16,Low Fat,OUT_000,Supermarket Type3,Medium,Tier 3,2010,0,6,60
ITM_00002,Clothing,225.88,0.19,Non Edible,OUT_001,Supermarket Type3,Small,Tier 2,1997,0,42,115
ITM_00003,Household,301.07,0.19,Non Edible,OUT_002,Supermarket Type1,Medium,Tier 1,1996,0,36,160
ITM_00004,Clothing,270.16,0.06,Regular,OUT_003,Grocery Store,Medium,Tier 2,2006,0,8,33
ITM_00005,Clothing,91.89,0.21,Non Edible,OUT_004,Supermarket Type2,Medium,Tier 1,1993,1,13,149
ITM_00006,Drinks,51.48,0.14,Low Fat,OUT_005,Grocery Store,Small,Tier 1,1990,0,29,142
ITM_00007,Household,370.12,0.16,Non Edible,OUT_006,Grocery Store,Large,Tier 3,2020,1,50,153
ITM_00008,Household,288.66,0.02,Regular,OUT_007,Supermarket Type2,Small,Tier 2,1994,0,46,142
ITM_00009,Household,192.32,0.23,Non Edible,OUT_008,Supermarket Type2,Medium,Tier 2,2021,0,47,128
ITM_00010,Clothing,408.01,0.25,Low Fat,OUT_009,Grocery Store,Large,Tier 3,2016,0,19,99
ITM_00011,Personal Care,206.27,0.19,Low Fat,OUT_010,Supermarket Type2,Medium,Tier 2,1988,0,46,121
ITM_00012,Household,402.06,0.23,Non Edible,OUT_011,Supermarket Type3,Small,Tier 1,1988,0,22,126
ITM_00013,Electronics,166.76,0.16,Non Edible,OUT_012,Supermarket Type2,Large,Tier 1,1997,1,14,156
ITM_00014,Clothing,54.97,0.19,Low Fat,OUT_013,Supermarket Type2,Small,Tier 1,2000,1,30,166
ITM_00015,Drinks,467.67,0.12,Regular,OUT_014,Supermarket Type3,Large,Tier 3,2010,0,3,70
ITM_00016,Personal Care,209.38,0.24,Low Fat,OUT_015,Supermarket Type3,Medium,Tier 2,2017,0,24,82
ITM_00017,Electronics,400.49,0.15,Non Edible,OUT_016,Supermarket Type3,Medium,Tier 1,1988,0,50,193
ITM_00018,Electronics,153.99,0.21,Non Edible,OUT_017,Supermarket Type2,Medium,Tier 3,2010,0,18,116
ITM_00019,Drinks,330.26,0.19,Regular,OUT_018,Supermarket Type3,Small,Tier 1,1993,0,36,158
ITM_00020,Personal Care,439.19,0.21,Low Fat,OUT_019,Supermarket Type3,Small,Tier 1,1995,0,33,146
ITM_00021,Clothing,39.99,0.24,Low Fat,OUT_020,Supermarket Type1,Medium,Tier 2,1989,0,0,33
ITM_00022,Food,418.71,0.16,Regular,OUT_021,Supermarket Type1,Medium,Tier 3,2022,1,40,191
ITM_00023,Personal Care,294.24,0.25,Low Fat,OUT_022,Supermarket Type2,Large,Tier 1,2016,0,30,143
ITM_00024,Drinks,311.59,0.15,Regular,OUT_023,Supermarket Type3,Large,Tier 1,2013,1,39,185
ITM_00025,Electronics,271.12,0.29,Low Fat,OUT_024,Supermarket Type2,Small,Tier 3,2022,1,43,186
ITM_00026,Clothing,439.75,0.23,Regular,OUT_025,Supermarket Type1,Large,Tier 3,2012,0,34,110
ITM_00027,Personal Care,40.85,0.06,Regular,OUT_026,Supermarket Type1,Small,Tier 2,2008,1,26,149
ITM_00028,Food,145.29,0.25,Regular,OUT_027,Supermarket Type3,Small,Tier 1,2003,0,20,103
ITM_00029,Food,440.37,0.17,Non Edible,OUT_028,Supermarket Type2,Large,Tier 2,1985,0,7,43
ITM_00030,Household,381.13,0.3,Non Edible,OUT_029,Supermarket Type1,Large,Tier 1,1989,0,17,88
ITM_00031,Household,28.47,0.22,Non Edible,OUT_030,Grocery Store,Large,Tier 2,2007,0,22,79
ITM_00032,Drinks,268.16,0.03,Low Fat,OUT_031,Supermarket Type3,Medium,Tier 1,2003,0,40,166
ITM_00033,Personal Care,274.19,0.12,Regular,OUT_032,Supermarket Type2,Medium,Tier 3,1986,0,35,110
ITM_00034,Personal Care,212.42,0.16,Low Fat,OUT_033,Grocery Store,Large,Tier 2,1986,0,28,87
ITM_00035,Electronics,162.75,0.25,Low Fat,OUT_034,Supermarket Type3,Medium,Tier 3,1993,0,15,55
ITM_00036,Electronics,347.23,0.22,Regular,OUT_035,Supermarket Type3,Small,Tier 1,2002,0,49,188
ITM_00037,Electronics,119.74,0.12,Non Edible,OUT_036,Supermarket Type1,Medium,Tier 3,2000,0,9,61
ITM_00038,Household,403.5,0.2,Low Fat,OUT_037,Supermarket Type2,Medium,Tier 2,2023,1,16,84
ITM_00039,Personal Care,405.46,0.18,Low Fat,OUT_038,Supermarket Type1,Medium,Tier 2,1993,0,21,84
ITM_00040,Personal Care,219.33,0.05,Low Fat,OUT_039,Grocery Store,Small,Tier 3,2007,0,39,119
ITM_00041,Food,156.1,0.08,Non Edible,OUT_040,Grocery Store,Small,Tier 1,2017,1,1,121
ITM_00042,Household,156.26,0.11,Regular,OUT_041,Grocery Store,Large,Tier 2,2022,0,41,119
ITM_00043,Clothing,251.5,0.07,Regular,OUT_042,Grocery Store,Medium,Tier 1,2018,1,29,194
ITM_00044,Household,365.4,0.05,Low Fat,OUT_043,Grocery Store,Medium,Tier 2,2010,0,43,131
ITM_00045,Clothing,192.26,0.03,Regular,OUT_044,Supermarket Type2,Small,Tier 1,2001,0,38,151
ITM_00046,Food,312.82,0.26,Non Edible,OUT_045,Supermarket Type2,Medium,Tier 1,1998,0,38,140
ITM_00047,Drinks,203.59,0.09,Regular,OUT_046,Supermarket Type3,Small,Tier 3,1997,0,44,141
ITM_00048,Personal Care,166.17,0.09,Low Fat,OUT_047,Supermarket Type3,Medium,Tier 1,2006,0,18,118
ITM_00049,Food,31.93,0.07,Low Fat,OUT_048,Supermarket Type2,Large,Tier 2,2002,0,9,59
ITM_00050,Personal Care,21.88,0.15,Regular,OUT_049,Supermarket Type3,Small,Tier 3,2004,0,19,82
ITM_00051,Electronics,129.06,0.16,Low Fat,OUT_050,Supermarket Type1,Small,Tier 2,2014,0,23,85
ITM_00052,Drinks,215.08,0.07,Non Edible,OUT_051,Supermarket Type2,Small,Tier 3,2019,0,5,69
ITM_00053,Drinks,428.61,0.19,Non Edible,OUT_052,Supermarket Type1,Medium,Tier 3,2017,1,44,151
ITM_00054,Food,403.27,0.22,Non Edible,OUT_053,Grocery Store,Large,Tier 1,2001,0,17,100
ITM_00055,Drinks,148.24,0.12,Non Edible,OUT_054,Grocery Store,Small,Tier 1,2019,1,15,142
ITM_00056,Clothing,137.38,0.18,Low Fat,OUT_055,Supermarket Type3,Large,Tier 2,1996,0,38,139
ITM_00057,Drinks,129.11,0.16,Low Fat,OUT_056,Supermarket Type2,Small,Tier 2,1986,0,39,139
ITM_00058,Personal Care,182.83,0.07,Regular,OUT_057,Grocery Store,Large,Tier 1,2018,0,39,161
ITM_00059,Personal Care,259.14,0.22,Low Fat,OUT_058,Supermarket Type3,Medium,Tier 2,1996,0,15,56
ITM_00060,Personal Care,230.56,0.24,Regular,OUT_059,Supermarket Type1,Medium,Tier 2,2010,0,39,119
ITM_00061,Personal Care,124.77,0.2,Low Fat,OUT_060,Supermarket Type2,Large,Tier 1,2016,0,14,128
ITM_00062,Clothing,82.62,0.1,Regular,OUT_061,Supermarket Type3,Large,Tier 3,2005,0,39,121
ITM_00063,Household,26.04,0.28,Regular,OUT_062,Grocery Store,Medium,Tier 1,1989,0,5,80
ITM_00064,Electronics,93.9,0.14,Non Edible,OUT_063,Supermarket Type1,Large,Tier 2,2012,0,32,111
ITM_00065,Food,358.57,0.09,Regular,OUT_064,Supermarket Type1,Large,Tier 3,2007,0,47,127
ITM_00066,Personal Care,136.95,0.13,Regular,OUT_065,Supermarket Type3,Large,Tier 1,2016,0,12,86
ITM_00067,Drinks,244.93,0.21,Regular,OUT_066,Supermarket Type2,Small,Tier 3,1989,1,3,75
ITM_00068,Personal Care,303.82,0.26,Regular,OUT_067,Supermarket Type3,Large,Tier 2,2019,0,31,97
ITM_00069,Drinks,445.68,0.11,Regular,OUT_068,Grocery Store,Small,Tier 3,1990,0,49,150
ITM_00070,Electronics,446.65,0.08,Non Edible,OUT_069,Supermarket Type2,Medium,Tier 2,2003,0,28,105
ITM_00071,Electronics,377.95,0.19,Regular,OUT_070,Grocery Store,Medium,Tier 1,1990,1,6,132
ITM_00072,Electronics,36.88,0.28,Regular,OUT_071,Supermarket Type1,Medium,Tier 3,1998,1,32,175
ITM_00073,Drinks,296.03,0.06,Regular,OUT_072,Supermarket Type1,Large,Tier 3,1987,0,4,94
ITM_00074,Personal Care,397.56,0.24,Low Fat,OUT_073,Grocery Store,Medium,Tier 3,1995,0,39,119
ITM_00075,Electronics,28.3,0.15,Low Fat,OUT_074,Grocery Store,Small,Tier 2,2023,1,3,103
